學校名稱,系所(組)名稱,107學年度核定招生名額,班數,大學多元入學-考試分發入學,大學多元入學-繁星推薦入學,大學多元入學-個人申請入學-一般,大學多元入學-個人申請入學-青年儲蓄帳戶組,四技二專-甄選入學,四技二專-登記分發入學,四技二專-技優入學,四技二專-青年儲蓄帳戶組,運動績優-甄試,運動績優-單獨招生,單獨招生-全校單招,單獨招生-學系單招,單獨招生-特殊選才,單獨招生-其他,外加名額-大學多元入學-繁星推薦入學,外加名額-大學多元入學-個人申請入學,外加名額-大學多元入學-單獨招生,外加名額-四技二專技優入學
銘傳大學(桃園),犯罪防治學系,102,2,20,16,62,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0
銘傳大學(桃園),諮商與工商心理學系,60,1,15,7,36,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0
銘傳大學(桃園),經濟與金融學系,120,2,18,9,89,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0
銘傳大學(桃園),應用統計與資料科學學系,100,2,19,3,68,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
銘傳大學(桃園),生物科技學系,106,2,13,16,67,0,5,0,0,0,0,2,0,0,3,0,1,1,0,0
銘傳大學(桃園),生物醫學工程學系,54,1,2,13,32,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0
銘傳大學(桃園),醫療資訊與管理學系,98,2,8,12,67,0,5,0,0,0,0,2,0,0,4,0,1,1,0,0
實踐大學(臺北),社會工作學系,99,2,40,26,29,0,0,0,0,0,0,4,0,0,0,0,5,5,0,0
實踐大學(臺北),音樂學系,40,1,5,1,33,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0
實踐大學(臺北),食品營養與保健生技學系,116,2,30,21,55,0,6,0,0,0,0,4,0,0,0,0,4,4,0,0
實踐大學(臺北),家庭研究與兒童發展學系,56,1,14,7,21,0,11,0,0,0,0,3,0,0,0,0,2,2,0,1
實踐大學(臺北),餐飲管理學系,50,1,12,10,18,0,8,0,0,0,0,1,0,0,1,0,2,2,0,2
實踐大學(臺北),工業產品設計學系,60,1,15,3,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
實踐大學(臺北),服裝設計學系,120,2,9,10,86,0,15,0,0,0,0,0,0,0,0,0,0,2,0,2
實踐大學(臺北),建築設計學系,46,1,15,7,23,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
實踐大學(臺北),媒體傳達設計學系創意媒體設計組,40,1,9,3,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
實踐大學(臺北),媒體傳達設計學系數位3D動畫設計組,40,1,9,3,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
實踐大學(臺北),企業管理學系,100,2,15,20,50,0,11,0,0,0,0,4,0,0,0,0,4,4,0,1
實踐大學(臺北),風險管理與保險學系,105,2,22,20,50,0,9,0,0,0,0,4,0,0,0,0,4,4,0,2
實踐大學(臺北),財務金融學系,107,2,20,17,55,0,12,0,0,0,0,3,0,0,0,0,4,4,0,2
實踐大學(臺北),國際經營與貿易學系,108,2,27,20,50,0,8,0,0,0,0,3,0,0,0,0,4,4,0,0
實踐大學(臺北),會計學系,106,2,23,21,51,0,9,0,0,0,0,2,0,0,0,0,3,3,0,1
實踐大學(臺北),資訊科技與管理學系,104,2,16,20,45,2,15,0,0,0,0,6,0,0,0,0,4,4,0,1
實踐大學(臺北),應用外語學系,98,2,17,23,43,0,12,0,0,0,0,3,0,0,0,0,4,4,0,0
實踐大學(臺北),管理學院國際企業英語學士學位學程,45,1,2,2,41,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
實踐大學(高雄),會計暨稅務學系,60,1,17,7,34,0,0,0,0,0,0,1,0,0,1,0,3,3,0,0
實踐大學(高雄),金融管理學系,60,1,13,5,40,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0
實踐大學(高雄),國際企業管理學系,60,1,15,8,35,0,0,0,0,0,0,1,0,0,1,0,3,3,0,0
實踐大學(高雄),行銷管理學系,60,2,17,5,36,0,0,0,0,0,0,2,0,0,0,50,3,3,0,0
實踐大學(高雄),資訊科技與通訊學系,90,2,23,8,52,0,0,0,0,0,0,2,0,0,1,0,4,5,0,0
實踐大學(高雄),資訊模擬與設計學系,99,2,24,15,50,0,0,0,0,0,0,1,0,0,0,0,3,6,0,0
實踐大學(高雄),資訊管理學系,60,1,20,8,30,0,0,0,0,0,0,1,0,0,1,0,3,3,0,0
實踐大學(高雄),國際貿易學系,60,1,15,10,33,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0
實踐大學(高雄),電腦動畫學士學位學程,46,1,4,5,35,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
實踐大學(高雄),觀光管理學系,150,2,33,10,50,0,24,0,0,0,0,3,0,0,0,0,4,8,0,2
實踐大學(高雄),休閒產業管理學系,55,1,6,10,24,0,10,0,0,0,0,5,0,0,0,0,2,3,0,0
實踐大學(高雄),服飾設計與經營學系,140,3,32,10,72,0,24,0,0,0,0,2,0,0,0,0,6,8,0,4
實踐大學(高雄),應用英語學系,60,1,19,7,32,0,0,0,0,0,0,1,0,0,1,0,3,3,0,0
實踐大學(高雄),應用中文學系,50,1,18,5,26,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0
實踐大學(高雄),時尚設計學系,140,3,25,13,85,0,14,0,0,0,0,3,0,0,0,0,6,8,0,2
實踐大學(高雄),應用日文學系,120,2,12,12,53,0,20,0,0,0,0,2,0,0,1,0,5,5,0,2
